"Name of University","Research Score"
"King Fahd University of Petroleum and Minerals","35.9"
"University of Konstanz","46.4"
"Korea University","48.7"
"Université Libre de Bruxelles","44.1"
"University of Luxembourg","39.8"
"University of Macau","36"
"Macau University of Science and Technology","30.7"
"Medical University of Innsbruck","30.2"
"University of Newcastle","35.8"
"University of Notre Dame","40.5"
"University of Padua","36.5"
"University of Potsdam","44.6"
"Qatar University","38.7"
"Queensland University of Technology","39.7"
"RCSI University of Medicine and Health Sciences","37.3"
"Rutgers University – New Brunswick","43.6"
"St George’s, University of London","28.3"
"Sant’Anna School of Advanced Studies – Pisa","40.2"
"University of São Paulo","61.5"
"Sapienza University of Rome","44.9"
"Semmelweis University","18"
"University of South Florida","36.9"
"University of St Andrews","41.4"
"University of Surrey","33.9"
"University of Sussex","34.2"
"Università della Svizzera italiana","23.3"
"University of Tartu","33.1"
"Tel Aviv University","51.2"
"Tohoku University","62.3"
"University College Dublin","40.3"
"Vita-Salute San Raffaele University","27.8"
"Vrije Universiteit Brussel","43.6"
"University of Waterloo","46.4"
"Western University","42.1"
"Western Sydney University","31.7"
"University of Wollongong","38.2"
"Aalborg University","43.3"
"Auckland University of Technology","21.3"
"Australian Catholic University","25.9"
"University of Bath","33.8"
"Beijing Normal University","43.8"
"Bond University","21.8"
"Boston College","31.5"
"Bournemouth University","20.7"
"Brighton and Sussex Medical School","25.4"
"University of California, Riverside","32.7"
"University of Canberra","32"
"Chalmers University of Technology","44.5"
"China Medical University, Taiwan","32"
"Copenhagen Business School","31"
"Deakin University","33"
"University of Duisburg-Essen","35.5"
"Heinrich Heine University Düsseldorf","32.3"
"École des Ponts ParisTech","29.4"
"Goethe University Frankfurt","32.9"
"Griffith University","35.8"
"University of Hawai’i at Mānoa","41.7"
"Hebrew University of Jerusalem","41.8"
"University of Illinois Chicago","32.4"
"Indian Institute of Science","56.9"
"Johannes Gutenberg University of Mainz","28.8"
"University of Kiel","32.7"
"King Saud University","32.9"
"Kyung Hee University","41.8"
"La Trobe University","32.9"
"Université Laval","35.8"
"Linköping University","39.8"
"University of Navarra","30.3"
"Oregon Health and Science University","19.8"
"Osaka University","60.9"
"University of Pavia","33.7"
"Queen’s University","38"
"Ruhr University Bochum","47.2"
"Sejong University","29.3"
"University of Sharjah","21.3"
"Simon Fraser University","36.8"
"University of Southern Denmark","32.4"
"Stellenbosch University","36.9"
"Sun Yat-sen University","37.4"
"Swansea University","28.2"
"Tilburg University","46.6"
"Tongji University","52.3"
"University of Twente","46.4"
"United Arab Emirates University","29.8"
"University of Utah","34.9"
"Virginia Polytechnic Institute and State University","36.2"
"University of the Witwatersrand","44.3"
"Abu Dhabi University","15.4"
"Aix-Marseille University","24.9"
"Alfaisal University","22.1"
"Anglia Ruskin University (ARU)","16.3"
"Autonomous University of Madrid","31.2"
"University of Bordeaux","27.8"
"Brandeis University","23.1"
"Universiti Brunei Darussalam","22.6"
"University at Buffalo","33.7"
"University of California, Merced","23.5"
"University of Colorado Denver/Anschutz Medical Campus","20.3"
"Dalhousie University","30.9"
"Drexel University","26"
"École Normale Supérieure de Lyon","46.2"
"University of Essex","32.4"
"Flinders University","33.1"
"Florida State University","37.3"
"University of Galway","32.7"
"George Mason University","26.8"
"Hasselt University","39.5"
"University of Iowa","31.6"
"Lappeenranta-Lahti University of Technology LUT","32.7"
"University of Milan","30.4"
"University of Milan-Bicocca","25.9"
"Montpellier University","33.6"
"Nagoya University","54.1"
"Nankai University","24.9"
"University of Otago","34.5"
"University of Oulu","35.8"
"Politecnico di Milano","45.3"
"Reykjavík University","21.5"
"RMIT University","32.7"
"University of St Gallen","20.4"
"Saint Louis University","15.8"
"University of South Australia","36.1"
"University of Southern Queensland","24.3"
"Stony Brook University","26.8"
"University of Stuttgart","48.6"
"Swinburne University of Technology","31.1"
"Taipei Medical University","32.2"
"Tampere University","35.9"
"University of Tasmania","34.8"
"Technical University of Darmstadt","48.2"
"Temple University","23.1"
"The University of Tennessee-Knoxville","28.4"
"Tokyo Institute of Technology","58.2"
"University College Cork","28.8"
"University of Victoria","33.7"
"American University of Beirut","14.8"
"Asia University, Taiwan","36.5"
"Ateneo de Manila University","9.5"
"Birkbeck, University of London","33.3"
"University of Bremen","38.6"
"University of Brescia","18.8"
"University of Cape Coast","20.7"
"Catholic University of Portugal","19.2"
"Central South University","41.2"
"Charles Darwin University","33.2"
"City, University of London","29.3"
"University of Delaware","39"
"East China Normal University","32.6"
"Edith Cowan University","25.3"
"Golestan University of Medical Sciences","8.9"
"University of Greifswald","26.9"
"University of Hail","9.2"
"Harbin Institute of Technology","46.9"
"Howard University","17.6"
"Imam Mohammad Ibn Saud Islamic University","17.7"
"IMT Atlantique","35.8"
"James Cook University","28.2"
"JSS Academy of Higher Education and Research","9.4"
"University of Kent","29.5"
"Khalifa University","37.1"
"Kurdistan University of Medical Sciences","9.8"
"Leuphana University of Lüneburg","22.1"
"University of Liège","38.4"
"Loughborough University","32.6"
