"Name of University","Research Score"
"Northern Illinois University","16.7"
"Ohio University (Main campus)","18.8"
"Old Dominion University","19.5"
"Ozyegin University","20.1"
"Pablo de Olavide University","16.7"
"University of Palermo","21.9"
"Panjab University","14.6"
"Panthéon-Sorbonne University – Paris 1","32.1"
"Parthenope University of Naples","20.3"
"Universiti Pendidikan Sultan Idris","25.5"
"University of Peshawar","10.8"
"University of the Philippines","16.6"
"Universitat Politècnica de Catalunya","19.3"
"Polytechnic University of Valencia","21.8"
"Pontifical Catholic University of Rio de Janeiro (PUC-Rio)","25.6"
"Pontifical Catholic University of Rio Grande do Sul (PUCRS)","17.1"
"Pontifical Javeriana University","11.1"
"University of Pretoria","31.6"
"Princess Nourah bint Abdulrahman University","13.6"
"University of the Punjab","14"
"University of Rennes 1","17"
"University of Rhode Island","18"
"Rhodes University","13.4"
"University of Roehampton","21.4"
"University of Rome III","24.1"
"Roskilde University","32.1"
"University of Salamanca","20.8"
"University of Salento","19.3"
"University of Salford","14.9"
"University of Science and Technology Beijing","29.8"
"University of La Serena","9.3"
"Shahid Beheshti University","27.4"
"Shantou University","15.5"
"Sheffield Hallam University","14.3"
"Shiraz University","24.4"
"Shiraz University of Medical Sciences","11"
"University of Siegen","27.3"
"University of South Bohemia in České Budějovice","17.1"
"South China Normal University","19.2"
"Southern Illinois University Carbondale","23.9"
"Suez Canal University","8.2"
"Sunway University","12"
"Symbiosis International University","10.2"
"Taibah University","9"
"Tanta University","8.4"
"University of Technology, Iraq","9.5"
"Universiti Tenaga Nasional (UNITEN)","15"
"University of Texas at El Paso","31.7"
"Texas Tech University","19.2"
"University of Thessaly","14.4"
"Toronto Metropolitan University","30.8"
"Tribhuvan University","7.9"
"University of Urbino Carlo Bo","17.1"
"Vilnius University","18.7"
"VIT University","14.6"
"University of Warsaw","27.4"
"Wenzhou Medical University","14.2"
"University of Winchester","15.7"
"University of Wisconsin-Milwaukee","22.2"
"Worcester Polytechnic Institute","19.3"
"University of Wyoming","14.4"
"Yangzhou University","18.4"
"Yeungnam University","15.3"
"Zagazig University","8.3"
"Zewail City of Science and Technology","16.4"
"Zhejiang University of Finance and Economics","11.3"
"University of A Coruña","17.2"
"Adam Mickiewicz University, Poznań","25.3"
"Ain Shams University","13.1"
"Al-Farabi Kazakh National University","10.8"
"University of Algarve","17.3"
"University of Almería","17.6"
"Amity University","12.6"
"University of Anbar","8.6"
"University of the Andes, Colombia","19.4"
"Arts et Métiers","16"
"Assiut University","9.4"
"Atılım University","9"
"Autonomous University of Sinaloa","7.7"
"Babeş-Bolyai University","16"
"Bahauddin Zakariya University","11.9"
"Bayero University","8.8"
"Beijing Jiaotong University","28.3"
"University of Botswana","12.6"
"Bowling Green State University","12.7"
"Instituto Politécnico de Bragança","12.6"
"University of Burgos","14.4"
"University of Calcutta","14.7"
"Cardiff Metropolitan University","12.5"
"Carlos III University of Madrid","18.8"
"Technical University of Cartagena","12.5"
"University of Castilla-La Mancha","16"
"Universidad Católica San Antonio de Murcia (UCAM)","14.6"
"University of Central Lancashire","13.9"
"Chang Gung University","27.9"
"Charles Sturt University","16"
"Chiang Mai University","17"
"Chiba University","18.3"
"University of Chile","18.6"
"China University of Geosciences, Beijing","19.2"
"China Pharmaceutical University","15.8"
"Chonnam National University","24.2"
"Clarkson University","16.5"
"Comenius University in Bratislava","15.5"
"Creighton University","14.6"
"Czech University of Life Sciences Prague (CZU)","13.6"
"University of Debrecen","14.3"
"University of Delhi","24.2"
"Dr B.R. Ambedkar National Institute of Technology Jalandhar","13.1"
"East China University of Science and Technology","22.4"
"University of East London","15"
"École Centrale de Lyon","22.3"
"University of Engineering & Technology (UET) Lahore","9.9"
"Universidade Estadual Paulista (Unesp)","28.8"
"European University of Madrid","9.8"
"University of Extremadura","11.1"
"Federal University of Rio de Janeiro","25.3"
"Universidade Federal de Santa Catarina","19.2"
"Federal University of Technology Akure","10.2"
"Ferdowsi University of Mashhad","25.7"
"Florida Institute of Technology","17.4"
"University of Fortaleza (UNIFOR)","8.6"
"Fu Jen Catholic University","26.5"
"Fujian Agriculture and Forestry University","11.8"
"University of Ghana","17"
"Guangxi University","13.2"
"University of Gujrat","10.5"
"Guru Jambheshwar University of Science and Technology","8.9"
"Hakim Sabzevari University","9.9"
"Hamamatsu University School of Medicine","18.3"
"Huaqiao University","12"
"Hyogo College of Medicine","12"
"Ibn Tofaïl University","10.9"
"Ilia State University","8.6"
"Ilmenau University of Technology","16.8"
"IMT Nord Europe","26.5"
"Indian Institute of Science Education and Research, Pune","16.2"
"Indian Institute of Science Education and Research Kolkata","16.5"
"Indian Institute of Technology Bhubaneswar","13.7"
"Indian Institute of Technology Guwahati","22.3"
"Indian Institute of Technology (Indian School of Mines) Dhanbad","21.9"
"Indian Institute of Technology Mandi","11.7"
"University of Indonesia","19.9"
"Inha University","22.3"
"Isfahan University of Medical Sciences","13"
"Isfahan University of Technology","22.8"
"Istanbul University","20.8"
"Istanbul University-Cerrahpaşa","12.1"
"Jadavpur University","16.9"
"Jaume I University","20"
"University of Jeddah","8.8"
"Jeonbuk National University","23.7"
"Jiangnan University","19.5"
"Jiangsu Normal University","11.2"
"Jiangxi University of Finance and Economics","9.1"
"The Jikei University School of Medicine","9.2"
"Kanazawa University","17"
"Kaohsiung Medical University","24.2"
"Kharkiv National University of Radio Electronics","9.4"
"K.N. Toosi University of Technology","21.8"
"Kumamoto University","18.9"
"Kwame Nkrumah University of Science and Technology","14.2"
"Kyoto Prefectural University of Medicine","15.9"
"University of Las Palmas de Gran Canaria","15"
"Lebanese University","20.1"
"University of Leoben","13"
"University of León","13.6"
"Lorestan University","11.1"
"Lusophone University of Humanities and Technologies","11.4"
"Universiti Malaysia Perlis","13.6"
"University of Manouba","8.3"
"University of Maragheh","12.4"
"University of Marrakech Cadi Ayyad","10.5"
"University of Mauritius","10"
"University of Mazandaran","15"
"Medical University of Bialystok","10.5"
"Menoufia University","8.2"
"Miguel Hernández University of Elche","16.1"
"Morgan State University","10.4"
"University of Murcia","19.1"
"Nanjing University of Aeronautics and Astronautics","26.1"
"Nanjing Medical University","19.7"
"National Autonomous University of Mexico","29.5"
"National Central University","22.6"
"National University of Colombia","13.1"
"National Taipei University of Technology","23.1"
"National Taiwan Ocean University","25.6"
"National Institute of Technology Rourkela","17.2"
"Necmettin Erbakan University","12.7"
"Niigata University","13.5"
"Northwest University","14.5"
"Oakland University","15.7"
"Óbuda University","14.6"
"Okayama University","20.3"
"University of Oviedo","20.1"
"Palacký University Olomouc","19.9"
"University of Patras","16.6"
"Pavol Jozef Šafárik University in Košice","10.1"
"University of Pécs","13"
"PMAS Arid Agriculture University Rawalpindi","11.2"
"Polytechnic Institute of Porto","11.2"
"Pondicherry University","21.3"
"Portland State University","21.5"
"Port Said University","8"
"Public University of Navarre","13.5"
"University of Puerto Rico","10.5"
"Pusan National University","32.5"
"Reichman University","9.6"
"University Rey Juan Carlos","13.2"
"Rikkyo University","8.7"
"Robert Gordon University","12.9"
"Rochester Institute of Technology","19.2"
"Rowan University","11.3"
"Sahand University of Technology","15.6"
"Sakarya University","11.3"
"Universidad San Francisco de Quito","9.8"
"University of Sargodha","10.7"
"Semnan University of Medical Sciences and Health Services","9.2"
"University of Seville","22.6"
"Shahid Beheshti University of Medical Sciences","14.8"
"Shahrekord University","12.7"
"Shahrood University of Technology","16.6"
"Shanghai Maritime University","11.2"
"Sidi Mohamed Ben Abdellah University","10.4"
"Siksha ‘O’ Anusandhan","14.8"
"University of Social Welfare and Rehabilitation Sciences","19.5"
"Sogang University","25.9"
"Sohag University","8.3"
"University of South Africa","25.5"
"University of South Dakota","15"
"University of the South Pacific","16.3"
"South Valley University","8.4"
"University of South Wales","11"
"University of Split","13.4"
"Ştefan cel Mare University of Suceava","12"
"St Marianna University School of Medicine","8.6"
"University of Sunderland","9.6"
"SWPS University of Social Sciences and Humanities","16.3"
"University of Szeged","15.5"
"Tallinn University","18.8"
"Technical University of Crete","11.9"
"Technical University of Madrid","15.3"
"Technological University Dublin","12.3"
"Teesside University","12.7"
"University of Texas Rio Grande Valley","23.7"
"Tokyo Medical University","11.5"
"Tokyo Metropolitan University","14.6"
"Toyota Technological Institute","17.5"
"University of Trás-os-Montes and Alto Douro","19.4"
"Universiti Tunku Abdul Rahman (UTAR)","14.9"
"Urmia University","16.4"
"University of Veterinary and Animal Sciences, Lahore","13.9"
"Vietnam National University, Hanoi","9.6"
"University of Vigo","16.5"
"Waseda University","23.8"
"University of Westminster","18.4"
"Wuhan University of Technology","15.2"
"Xidian University","20.4"
"Yarmouk University","11.1"
"Yasouj University","13.6"
"Yıldız Technical University","26.7"
"University of Zaragoza","16.3"
"Zhejiang Gongshang University","11"
"Zhejiang University of Technology","18.4"
"University of Žilina","18.2"
"University of Zimbabwe","23.3"
"Université 8 Mai 1945 Guelma","8.6"
"Abdelmalek Essaâdi University","9.5"
"Acharya Nagarjuna University","9.7"
"Acıbadem University","11.4"
"Adolfo Ibáñez University","17.2"
"AGH University of Krakow","18.6"
"Aichi Medical University","12.4"
"Universitas Airlangga","10.5"
"Akdeniz University","10.8"
"University of Alicante","18.4"
"Anadolu University","11.3"
"University of the Andes, Chile","14.3"
"Andhra University","9.9"
"Universidad Andrés Bello (UNAB)","9.4"
"Ankara University","11"
"University of Antioquia","14.9"
"Arab Academy for Science, Technology and Maritime Transport","10.4"
"Arak University","12.9"
"Ariel University","18.9"
"Atatürk University","14"
"Austral University of Chile","14.4"
"Banasthali University","11"
"Bandung Institute of Technology (ITB)","25.8"
"Bangladesh Agricultural University (BAU)","10.2"
"Bangladesh University of Engineering and Technology","13.4"
"University of Benin","8.7"
"Bezmiâlem Vakif University","10.7"
"BINUS University","14.3"
"Bozok University","8.7"
"University of Brasília","15.8"
"The British University in Egypt","8.7"
"Brno University of Technology","17.8"
"Bu-Ali Sina University","15.6"
"University of Bucharest","16.8"
"Budapest University of Technology and Economics","17.5"
"University of Cadiz","16.4"
"Canterbury Christ Church University","12.8"
"University of Carthage","9.8"
"The Catholic University of Korea","18.9"
"Catholic University of the North","17"
"Chang Gung University of Science and Technology","16.1"
"University of Chemistry and Technology, Prague","13.4"
"University of Chester","12.9"
"Chosun University","22.2"
"Chungbuk National University","20.2"
"Chungnam National University","24.6"
"Chung Yuan Christian University","21.9"
"Cochin University of Science and Technology","18.6"
"University of Colorado Colorado Springs","12.7"
"University of Concepción","14"
"Corvinus University of Budapest","12.2"
"Czech Technical University in Prague","16.1"
"Damghan University","13.3"
"De La Salle University","13.4"
"Del Rosario University","11.6"
"Democritus University of Thrace","13.8"
"Dokuz Eylül University","13.3"
"Ege University","13.3"
"Ehime University","15.3"
"El Bosque University","7.8"
"The University of Electro-Communications","21.1"
"Erciyes University","14.1"
"Escuela Superior Politécnica del Litoral","10.2"
"Universidade do Estado do Rio de Janeiro (UERJ)","12.4"
"Universidade Federal do ABC (UFABC)","15.4"
"Universidade Federal da Bahia","11.1"
"Federal University of Espírito Santo","12.2"
"Federal University of Goiás","13"
"Federal University of Lavras","17.1"
"Universidade Federal do Paraná (UFPR)","16"
"Federal University of Rio Grande do Norte (UFRN)","10.1"
"Federal University of Santa Maria","12.1"
"Federal University of São Carlos","19"
"Federal University of Uberlândia","11.1"
"Federal University of Viçosa","16.7"
"Federico Santa María Technical University","12"
"University of Fort Hare","12.4"
"University of La Frontera","12.9"
"Fujian Normal University","10.5"
"Université de Gabès","9.3"
"Universitas Gadjah Mada","17.3"
"Gazi University","16.2"
"University of Gdańsk","15.5"
"Gdańsk University of Technology","15.1"
"Gebze Technical University","14.4"
"Georgia Southern University","11.4"
"German University in Cairo","8.8"
"Gifu University","13"
"Government College University Lahore","11.5"
"Grand Valley State University","9"
"Gunma University","13"
"Gyeongsang National University","17"
"Hallym University","18.7"
"Harbin Engineering University","23.2"
"Hasanuddin University","10.9"
"The Hashemite University","13.5"
"Université Hassan II de Casablanca","8.6"
"Université Polytechnique Hauts-de-France","8.1"
"Helwan University","8.3"
"Hosei University","10"
"University of Hradec Králové","13.6"
"Hungarian University of Agriculture and Life Sciences","13.3"
"University of Ilorin","10.7"
"Incheon National University","14.6"
"Indian Institute of Science Education and Research Bhopal","15.8"
"International Hellenic University","10.8"
"IPB University","9.7"
"University of Isfahan","17.2"
"Istanbul Medipol University","9.5"
"Ivan Franko National University of Lviv","9.5"
"Jawaharlal Nehru Technological University Anantapur (JNTUA)","12.3"
"Jeju National University","15.6"
"Jianghan University","11.5"
"Kagawa University","12.2"
"Kanazawa Medical University","8.9"
"Kangwon National University","19.4"
"Karabük University","8.8"
"Kaunas University of Technology","15.9"
"Kharazmi University","14.1"
"Khon Kaen University","14.4"
"Khulna University of Engineering and Technology (KUET)","9.2"
"King Mongkut's University of Technology North Bangkok","10.3"
"Kitasato University","10.1"
"Kochi University of Technology","14.3"
"Universiti Kuala Lumpur","9"
"Kyushu Institute of Technology (Kyutech)","14.1"
"Lahore College for Women University (LCWU)","8.8"
"University of Lethbridge","13.7"
"L.N. Gumilyov Eurasian National University","10.9"
"Londrina State University","14.9"
"University of Lucknow","10.3"
"Lumière University, Lyon 2","18.4"
"University of Malaga","14.6"
"Universiti Malaysia Kelantan","11.6"
"Universiti Malaysia Sarawak (UNIMAS)","11.8"
"University of Maribor","17.4"
"Marmara University","10"
"Mendel University in Brno","17.6"
"Metropolitan Autonomous University","17.5"
"Mie University","12.7"
"Ming Chi University of Technology","19.8"
"Mohammed V University of Rabat","13.3"
"University of Monastir","10"
"Multimedia University","10.7"
"University of Mumbai","19.9"
"University of Mysore","8.6"
"Nagaoka University of Technology","15.7"
"Nagasaki University","13"
"Nagoya City University","15.8"
"National Chengchi University","28.3"
"National Chin-Yi University of Technology","23.6"
"National Chung Cheng University","18.7"
"National Chung Hsing University","21"
"National University of Distance Education (UNED)","18.5"
"National Dong Hwa University","21.7"
"National University of San Martín","10.4"
"National Technical University Kharkiv Polytechnic Institute","9.1"
"National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute","10"
"Nicolaus Copernicus University in Toruń","19"
"University of Nigeria Nsukka","10.2"
"Slovak University of Agriculture in Nitra","12.5"
"University of North Carolina Wilmington","8.1"
"North China Electric Power University","19.9"
"University of the North, Colombia","12.5"
"Obafemi Awolowo University","12.3"
"Oles Honchar Dnipro National University","8.6"
"Opole University of Technology","13"
"Oran 1 University","8.3"
"Osaka Metropolitan University","17"
"Osmania University","13.9"
"University of Ostrava","15.1"
"University of Pannonia","14.6"
"Paris Nanterre University","21"
"University of Pau and Pays de l’Adour","11.3"
"Universitas Pendidikan Indonesia","10.7"
"Persian Gulf University","13.4"
"Pontifical Catholic University of Peru","10"
"Pontifical Catholic University of Valparaíso","18.1"
"Pontifícia Universidade Católica do Paraná","13.5"
"Poznan University of Medical Sciences","12.2"
"Poznan University of Technology","12.7"
"University of Primorska","14.2"
"Prince of Songkla University","13.6"
"Qassim University","8.7"
"Riga Technical University","22"
"Ritsumeikan University","13"
"University of the Ryukyus","12.6"
"Saga University","12.7"
"Université Saint-Joseph de Beyrouth","10.1"
"Saitama Medical University","9"
"University of Santiago, Chile (USACH)","16.1"
"Sapporo Medical University","11.3"
"SASTRA University","10.4"
"Sathyabama Institute of Science and Technology","9.9"
"Universitas Sebelas Maret","17.3"
"Selçuk University","13"
"Semnan University","11.1"
"University of Seoul","21.1"
"Seoul National University of Science and Technology (SeoulTech)","17.7"
"University of Sfax","14"
"Shahed University","14.2"
"Shahid Bahonar University of Kerman","13.7"
"​Shahid Chamran University of Ahvaz","17.2"
"Shahid Rajaee Teacher Training University","15"
"University of Shanghai for Science and Technology","10.5"
"Shibaura Institute of Technology","17.4"
"Shiga University of Medical Science","11.3"
"Shinshu University","14.9"
"Showa University","9"
"Silesian University of Technology","14.2"
"Sofia University","11.1"
"Soonchunhyang University","19.4"
"Soongsil University","12.5"
"Université Sorbonne Nouvelle","12"
"University of Sousse","9.4"
"Southwest Jiaotong University","21.1"
"Sri Venkateswara University","10.4"
"SRM Institute of Science and Technology","10.4"
"Staffordshire University","11.4"
"State University of Malang","10.5"
"Suranaree University of Technology","15.9"
"University of Talca","11.9"
"Tamkang University","12.7"
"University of Tarapacá","18.2"
"Taras Shevchenko National University of Kyiv","12.9"
"Technical University of Košice","15.8"
"Technological University of Pereira","7.8"
"University of Technology of Compiègne","10.8"
"University of Technology of Troyes","11"
"Teikyo University","11.1"
"Universiti Teknikal Malaysia Melaka","11.4"
"Institut Teknologi Sepuluh Nopember","12.3"
"Texas State University","16.2"
"Tezpur University","18.1"
"Thammasat University","17"
"The John Paul II Catholic University of Lublin","12"
"TOBB University of Economics and Technology","11.4"
"Toho University","15"
"Tokai University","11"
"Tokat Gaziosmanpaşa University","8"
"Tokushima University","22.8"
"Tokyo University of Agriculture and Technology","25.2"
"Tokyo University of Marine Science and Technology","15.1"
"Tokyo University of Science","24.4"
"Tomas Bata University in Zlín","19.4"
"University of Toyama","15"
"Toyohashi University of Technology (TUT)","21.3"
"Transilvania University of Brașov","10.4"
"Tshwane University of Technology","12.5"
"Tunghai University","12.4"
"University of Tunis El Manar","13.7"
"Tzu Chi University","24.2"
"UNIR – International University of La Rioja","11.9"
"Unisinos University","14.6"
"Université Chouaïb Doukkali","10.3"
"Universiti Malaysia Terengganu (UMT)","16.7"
"Universiti Tun Hussein Onn Malaysia (UTHM)","15.9"
"USAMV Cluj-Napoca","9.1"
"University of Valladolid","13.2"
"Veltech University","8.6"
"University of Venda","28.5"
"Vignan’s Foundation for Science, Technology and Research","7.8"
"Vilnius Gediminas Technical University (Vilnius Tech)","14.7"
"Visvesvaraya National Institute of Technology, Nagpur","13.5"
"V.N. Karazin Kharkiv National University","10.5"
"Vytautas Magnus University","12.4"
"Warsaw University of Life Sciences – SGGW","11.5"
"Warsaw University of Technology","17.6"
"University of West Bohemia","16"
"University of Western Macedonia","15.4"
"Western Michigan University","15.2"
"Wrocław University of Environmental and Life Sciences","12.7"
"University of Wrocław","24"
"Wuhan Textile University","10"
"Xiangtan University","14.3"
"Xuzhou Medical University","14.2"
"Yamagata University","13.4"
"University of Yamanashi","12.3"
"Yazd University","14.8"
"Yokohama National University","20.4"
"Yuan Ze University","21.7"
"Yuriy Fedkovych Chernivtsi National University","8.9"
"University of Zagreb","14.9"
"University of Zanjan","12.1"
"Zanjan University of Medical Sciences","9.5"
"University of Abou Bekr Belkaïd Tlemcen","8.8"
"Akita University","11.7"
"Aksaray University","8.5"
"Alexandru Ioan Cuza University","11.7"
"Alzahra University","11.6"
"University of the Andes, Venezuela","7.8"
"Annamalai University","9.6"
"Aoyama Gakuin University","8.5"
"Universidad Autónoma Chapingo","8.4"
"Universidad Autónoma de Ciudad Juárez","7.6"
"Universidad Autónoma de Coahuila","8.1"
"Universidad Autónoma del Estado de Hidalgo","9"
"Universidad Autónoma del Estado de Mexico (UAEMex)","8.6"
"Universidad Autónoma del Estado de Morelos","7.9"
"Universidad Autónoma de Nuevo León (UANL)","8.7"
"Universidad Autónoma de Querétaro","9.9"
"Universidad Autónoma de Yucatán","10.3"
"Autonomous University of Baja California","8.7"
"Badji Mokhtar University – Annaba","8.1"
"University of Baghdad","11.1"
"Baku State University","7.8"
"Başkent University","11.2"
"University of Basrah","7.8"
"University of Béjaïa","8.3"
"Benemérita Universidad Autónoma de Puebla","9.4"
"Bialystok University of Technology","14.6"
"University of Bío-Bío","8.5"
"University of Biskra","8.2"
"Blida 1 University","8.3"
"Bolu Abant Izzet Baysal University","8.5"
"University of Brawijaya","9.4"
"Burapha University","9.3"
"Bursa Uludağ University","10.1"
"Catholic University of Brasília","9"
"University of Caxias do Sul","8.9"
"Ceará State University","10"
"Manisa Celal Bayar University","7.8"
"Chaoyang University of Technology","16.1"
"Chiba Institute of Technology","9.1"
"Chinese Culture University","9.4"
"Chubu University","10.5"
"Chuo University","11.7"
"University of Colima","7.7"
"Comillas Pontifical University","14.5"
"Communication University of China","15.1"
"Cracow University of Technology","9.8"
"University of Craiova","10.8"
"Cukurova University","9.8"
"University of Dar es Salaam","9.5"
"Dicle University","8.4"
"Diponegoro University","11.2"
"Dokkyo Medical University","8.6"
"Doshisha University","10.1"
"Dumlupinar University","8.9"
"Dunarea de Jos University of Galati","9"
"EAFIT University","11"
"Erzincan Binali Yıldırım University","8.2"
"Escuela Politécnica Nacional","9.4"
"Eskişehir Osmangazi University","14.8"
"Universidade do Estado de Santa Catarina","11.1"
"Universidade Estadual do Norte Fluminense Darcy Ribeiro","12.4"
"Universidade Estadual de Maringá","13.3"
"Universidade Estadual do Oeste do Paraná (Unioeste)","9.3"
"Federal University of Agriculture, Abeokuta","8.8"
"Universidade Federal do Ceará (UFC)","13.6"
"Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA)","12.4"
"Universidade Federal do Triângulo Mineiro","9.4"
"Universidade Federal do Vale do São Francisco","7.4"
"Federal University of Itajubá","9.6"
"Universidade Federal de Juiz de Fora","10.8"
"Universidade Federal do Maranhão (UFMA)","8.8"
"Federal University of Mato Grosso do Sul","10.4"
"Universidade Federal de Ouro Preto (UFOP)","11.6"
"Federal University of Pará","10.7"
"Federal University of Paraí­ba (UFPB)","8.1"
"Federal University of Pelotas","13.4"
"Federal University of Pernambuco","11"
"Federal University of Piauí","10.5"
"Federal Rural University of Pernambuco","10.2"
"Universidade Federal Rural do Semi-Arido","9.4"
"Federal University of the State of Rio de Janeiro (UNIRIO)","10.9"
"Federal University of Vales do Jequitinhonha e Mucuri","8.8"
"Feng Chia University","16.6"
"Fluminense Federal University","12.1"
"Université Frères Mentouri Constantine 1","8.7"
"Universidad de las Fuerzas Armadas – ESPE","9.4"
"University of Fukui","11.2"
"Fukuoka University","9.2"
"Gaziantep University","9.8"
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures","9.4"
"Gheorghe Asachi Technical University of Iaşi","10.4"
"GITAM University","8.8"
"Grigore T. Popa University of Medicine and Pharmacy","8.4"
"University of Guadalajara","8.2"
"University of Guanajuato","9"
"Hanoi University of Science and Technology","12.3"
"Université Hassan 1er","8.7"
"University of Havana","11.3"
"Hellenic Open University","8.1"
"Hue University","8.1"
"University of Hyogo","12.3"
"Ibaraki University","12.2"
"Universidad Industrial de Santander (UIS)","10.1"
"Inönü University","8.4"
"Instituto Politécnico Nacional (IPN)","10.6"
"I-Shou University","19"
"Islamic University of Indonesia","9.3"
"Ivane Javakhishvili Tbilisi State University","10.6"
"Iwate University","10.6"
"Izmir Institute of Technology","10.9"
"Jan Evangelista Purkyně University","12.4"
"Jean Moulin University – Lyon 3","12.3"
"Kagoshima University","12.4"
"Kanagawa University","8"
"Kansai University","8.3"
"University of Karachi","10.8"
"Karadeniz Technical University","9.5"
"Kasetsart University","11.4"
"King Mongkut’s Institute of Technology Ladkrabang","20.5"
"Kirikkale University","17.6"
"Kocaeli University","8.8"
"Kochi University","11.3"
"Kogakuin University","11"
"Kookmin University","11.2"
"University of Kufa","8.3"
"Kwansei Gakuin University","9.2"
"Kyoto Sangyo University","8.5"
"Kyoto Institute of Technology","16"
"Ladoke Akintola University of Technology","11.2"
"Latvia University of Life Sciences and Technologies","20.1"
"University of Łódź","15.5"
"Lodz University of Technology","14.9"
"Lucian Blaga University of Sibiu","13.2"
"University of Macerata (UNIMC)","18"
"Mackenzie Presbyterian University","10"
"Mahasarakham University","8.4"
"Mapúa University","13.5"
"Maria Curie-Skłodowska University (UMCS)","16.8"
"Matej Bel University","13.3"
"Medical University of Silesia in Katowice","9.1"
"Meiji University","11.4"
"Meijo University","11.1"
"M’Hamed Bougara University of Boumerdès","8"
"Universidad Michoacana de San Nicolás de Hidalgo","8.5"
"Ming Chuan University","10.8"
"University of Miskolc","10.6"
"University of Miyazaki","10.9"
"University Mohamed Boudiaf of M’Sila","7.8"
"University of Montenegro","11.5"
"University of Mosul","8.8"
"Université Mouloud Mammeri de Tizi-Ouzou","7.5"
"Muroran Institute of Technology","11"
"Mustansiriyah University","8.2"
"Universidad Nacional del Litoral","8.9"
"Universidad Nacional Mayor de San Marcos","10.4"
"Nagoya Institute of Technology","19.6"
"Naresuan University","9.2"
"National Changhua University of Education","16.5"
"National Chiayi University","13.1"
"National Chi Nan University","14.9"
"National University of Córdoba","10.2"
"National Formosa University","14.3"
"National Ilan University","13.3"
"National University of Kaohsiung","15.3"
"National Kaohsiung University of Science and Technology","13.8"
"National Taipei University","13.7"
"National United University","13.1"
"Nnamdi Azikiwe University","8.3"
"Universidade Nove de Julho (Uninove)","7.7"
"University of Novi Sad","11.1"
"Nueva Granada Military University","7.7"
"Ochanomizu University","13.9"
"Oita University","11.1"
"Ondokuz Mayis University","10.5"
"University of Oradea","8.9"
"Osaka Institute of Technology","12.2"
"Osaka Medical and Pharmaceutical University","10.8"
"Ovidius University of Constanța","8.6"
"Universitas Padjadjaran","11"
"Universidad Panamericana (UP)","9.1"
"University of Pardubice","16.7"
"University of Passo Fundo (UPF)","10.1"
"Payame Noor University","9"
"Pedagogical and Technological University of Colombia","7.6"
"University of Pernambuco","10"
"Universidad Politécnica Salesiana","8.8"
"Polytechnic University of Bucharest","11.8"
"Polytechnic University of Timişoara","10.6"
"Pontifical Catholic University of Minas Gerais","9.4"
"Universidad Pontificia Bolivariana (UPB)","10.6"
"Pontificia Universidad Católica del Ecuador","8"
"Prague University of Economics and Business","14"
"PSG College of Technology","9.6"
"Recep Tayyip Erdoğan University","8.8"
"University of Rijeka","15.9"
"R V College of Engineering","9.7"
"Ryukoku University","10"
"Rzeszów University of Technology","9.3"
"University of La Sabana","10.1"
"Saitama University","13.5"
"San Sebastián University","8.1"
"Satbayev University","9.3"
"University of Science and Technology of Oran Mohamed-Boudiaf","7.7"
"SGH Warsaw School of Economics","13.2"
"Shimane University","11.3"
"Shizuoka University","14.8"
"University of Shizuoka","12.8"
"Sichuan University of Science and Engineering","9.4"
"University of Silesia in Katowice","12.3"
"Silpakorn University","10.9"
"University of Sistan and Baluchestan","11.5"
"Sivas Cumhuriyet University","9.3"
"Slovak University of Technology in Bratislava","11.8"
"University of Sonora","8.1"
"Sophia University","10"
"Srinakharinwirot University","8.6"
"State University of Ponta Grossa","9.9"
"State University of Santa Cruz","9.2"
"Süleyman Demirel University","9.1"
"Universitas Sumatera Utara","9.9"
"Tamil Nadu Agricultural University","10.3"
"Technical University of Cluj-Napoca","12"
"Technical University of Liberec","15.4"
"Technical University of Loja","7.8"
"Technical University of Sofia","8.3"
"Universidade Tecnológica Federal do Paraná (UTFPR)","10.1"
"Universiti Teknologi MARA","13.2"
"Telkom University","10.5"
"Temuco Catholic University","10.1"
"Tokyo University of Agriculture","10.1"
"Tokyo City University","10.3"
"Tokyo Denki University","9.6"
"Tokyo University of Pharmacy and Life Sciences","7.8"
"Tottori University","12.3"
"Toyo University","9"
"University of Tunis","9.6"
"Universitas Andalas","9.1"
"Universiti Malaysia Sabah (UMS)","12.6"
"Uşak University","10"
"Utsunomiya University","11.6"
"University of Valparaíso","11.4"
"Van Yüzüncü Yil University","22.7"
"Vietnam National University (Ho Chi Minh City)","10.1"
"VSB - Technical University of Ostrava","17"
"Walailak University","10.6"
"University of Warmia and Mazury in Olsztyn","12.2"
"University of West Attica","9.8"
"West University of Timişoara","13.4"
"Wrocław University of Science and Technology","16"
"Yamaguchi University","12.3"
"Yanshan University","10.9"
"Yeditepe University","12.2"
"Zonguldak Bülent Ecevit University","8.2"
"SUNY Binghamton University","20.4"
"University of Tabriz","21.4"
"Tabriz University of Medical Sciences","13.9"
"Taif University","12.4"
"Tallinn University of Technology","20.8"
"University of Tehran","31.7"
"Tehran University of Medical Sciences","17.4"
"Universiti Teknologi Malaysia","28.9"
"University of Texas at Arlington","19.2"
"The University of Texas at San Antonio","21.5"
"Thapar Institute of Engineering and Technology","12"
